id,category,reviewTag*,linkToRepository,fixed (y/n/m),comment-labels (sorter2),comment-labels (sorter1),comment-labels (agreed),reaction (sorter2),reaction (sorter1),reaction (agreed),resolution-time (ms)
librespacefoundation__satnogs__satnogs-docs__Versioning__requirementstxt__pyserial__missing,Versioning,missing,https://gitlab.com/librespacefoundation/satnogs/satnogs-docs,,,,,,,,
emcrp__src__Manual-Job__build-and-push,Manual-Job,NULL,https://gitlab.com/emcrp/src,,,,,,,,
simulant__simulant__Job-Allow-Failure__test-dreamcast-sh4-gcc,Job-Allow-Failure,NULL,https://gitlab.com/simulant/simulant,n,incomplete-implementation,temporary-smell,"incomplete-implementation, temporary-smell",negative,negative,negative,
perobertson__dotfiles__Manual-Job__py38,Manual-Job,NULL,https://gitlab.com/perobertson/dotfiles,y,temporary-smell,,,,,,5694944417
charts__gitlab__Job-Allow-Failure__production_specs_eks,Job-Allow-Failure,NULL,https://gitlab.com/charts/gitlab,,,,,,,,
aegir__aegir__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,https://gitlab.com/aegir/aegir,,,,,,,,
freedesktop-sdk__freedesktop-sdk__Job-Allow-Failure__minimal_systemd_vm_powerpc64le,Job-Allow-Failure,NULL,https://gitlab.com/freedesktop-sdk/freedesktop-sdk,n,flaky-env,"temporary-smell, agreement, optional-job, flaky-env","temporary-smell, agreement, optional-job, flaky-env",not-now,not-now,not-now,
anited__publish__Versioning__requirementstxt__Markdown__any-upper-version,Versioning,any-upper-version,https://gitlab.com/anited/publish,y,,no-trust,no-trust,negative,negative,negative,235684719
dodgyville__pygltflib__Versioning__requirementstxt__dataclasses__missing,Versioning,missing,https://gitlab.com/dodgyville/pygltflib,y,wrong-fix,,,,,,68296527
iba-aes__webcie__website__Job-Retry__Make-Docker-image,Job-Retry,script_failure,https://gitlab.com/iba-aes/webcie/website,,,,,,,,
oly-exams__exam_tools__Versioning__requirementstxt__future__missing,Versioning,missing,https://gitlab.com/oly-exams/exam_tools,,,,,,,,
