project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
victorm95/express-todo,victorm95,JavaScript,true,false,false,1,false,true,false,false,10
ilpianista/arch-audit,ilpianista,Rust,true,false,false,1,false,true,false,false,8
stefanotorresi/php-hello,stefanotorresi,PHP,true,false,false,2,true,true,false,false,37
open-source-devex/toolbox,open-source-devex,Shell,true,false,false,1,false,false,false,true,28
HearthProject/Hearth,HearthProject,C#,true,false,false,1,true,false,false,false,6
xapix/clj-soap,xapix,Clojure,true,false,false,1,false,true,false,false,18
eclufsc/eda/ophidian_project_template,eclufsc,CMake,true,false,false,1,true,false,false,false,89
icecream95/mastodon-fortune-bot,icecream95,Shell,true,false,false,1,false,true,false,false,11
wolphin/prometheus-export,wolphin,Go,true,false,false,1,true,false,false,false,26
VictLecl/2Movies1Actor_android,VictLecl,Java,true,false,false,2,true,true,false,false,56
nkls/memoize-last,nkls,TypeScript,true,false,false,2,false,true,false,true,30
wolphin/wolphin.fluentd,wolphin,Ruby,true,false,false,1,true,false,false,false,25
wolphin/wolphin.telegraf,wolphin,Shell,true,false,false,1,true,false,false,false,25
wolphin/eventpile,wolphin,Go,true,false,false,1,true,false,false,false,29
wolphin/wolphin.parallel,wolphin,,true,false,false,1,true,false,false,false,26
wolphin/wolphin.cli,wolphin,Python,true,false,false,1,true,false,false,false,26
wolphin/wolphin.etl,wolphin,Python,true,false,false,1,true,false,false,false,25
wolphin/wolphin.admin,wolphin,JavaScript,true,false,false,2,true,true,false,false,60
ercom/docker,ercom,Shell,true,false,false,1,true,false,false,false,25
i-tre-brutti/terraformer,i-tre-brutti,Go,true,false,false,2,true,true,false,false,27
beardedio/terraria,beardedio,Shell,true,false,false,1,true,false,false,false,26
epicdocker/bloonix_server,epicdocker,Smarty,true,false,false,3,true,false,false,true,85
Callahan93/headless,Callahan93,Python,true,false,false,3,false,true,true,false,117
i-tre-brutti/common,i-tre-brutti,Go,true,false,false,2,true,true,false,false,25
rilis/rilis,rilis,JavaScript,true,false,false,1,false,false,true,false,27
alphaDev/libTimeSeries,alphaDev,Java,true,false,true,1,false,true,false,false,51
web3-sh/web3,web3-sh,Shell,true,false,false,1,false,true,false,false,106
open-source-devex/containers/build-packer,open-source-devex,Shell,true,false,false,3,true,true,false,true,55
opentransitmap/public-transport-enabler,opentransitmap,Java,true,false,false,2,true,false,false,false,39
barrel-db/memstore,barrel-db,Erlang,true,false,false,1,false,true,false,false,6
KelompokB10PPW2017/konekin-enterprise,KelompokB10PPW2017,JavaScript,true,false,false,2,false,true,true,false,60
C0DK/refcoin,C0DK,Python,true,true,false,2,false,false,false,false,28
pcuisinaud/auth-service,pcuisinaud,Java,true,false,true,2,true,true,false,false,35
covcom/continuous-integration-example,covcom,JavaScript,true,false,false,3,false,false,false,false,80
seen/angular/seen-elearn,seen,JavaScript,true,false,false,2,false,true,true,false,46
datadrivendiscovery/tests-data,datadrivendiscovery,Python,true,false,false,1,true,false,false,false,42
jredmond/ld40,jredmond,Lua,true,false,false,1,false,true,false,false,10
metapensiero/metapensiero.sqlalchemy.asyncpg,metapensiero,Python,true,true,false,2,false,true,false,false,72
Pyrex-FWI/DeejayPoolBundle,Pyrex-FWI,PHP,true,false,false,1,false,true,false,false,17
Pyrex-FWI/sapar-id3,Pyrex-FWI,PHP,true,false,false,2,false,false,false,true,47
wolphin/wolphin.win,wolphin,Python,true,false,false,2,true,true,false,false,137
role_unit/role_unit,role_unit,Shell,true,false,false,3,false,false,false,false,61
Elypia/Alexis,Elypia,Java,true,false,false,5,false,true,false,false,69
Elypia/Elypiai,Elypia,Java,true,false,false,3,true,true,true,false,44
sebuah-grup/PPWKirito,sebuah-grup,Python,true,true,false,2,false,true,true,false,39
showcheap/adonis-demo,showcheap,JavaScript,true,false,false,1,false,true,false,false,12
nathanfaucett/rs-polygon2,nathanfaucett,Rust,true,false,false,1,false,true,false,false,7
xiangpeng.wu/ThirdProject,xiangpeng.wu,,true,false,false,1,false,true,false,false,25
venkateshd/blog,venkateshd,HTML,true,false,false,1,false,false,true,false,12
encircle360/iri,encircle360,Java,true,false,true,2,true,false,false,false,34
MengZn/gitlab-ci-ansible,MengZn,HTML,true,false,false,5,true,true,true,true,92
dsncode/FileManager,dsncode,Java,true,false,true,3,true,true,true,false,50
tuxaua/kafka-connect-ftp,tuxaua,Scala,true,false,false,1,false,true,false,false,8
xygeng/jaguar,xygeng,Java,true,false,true,1,false,true,false,false,4
tacoprophet/slf4j-esapi,tacoprophet,Java,true,false,true,2,false,true,true,false,39
the-casual-trade-and-fun-server/server-manager,the-casual-trade-and-fun-server,F#,true,false,false,2,true,true,false,false,76
eQuation/jekyll-website,eQuation,CSS,true,false,false,2,true,false,true,false,25
archbuild/packages/firefox-nightly,archbuild,Shell,true,false,false,1,false,false,false,false,44
VV5/vietnam-war,VV5,JavaScript,true,false,false,1,false,true,false,false,14
open-source-devex/terraform-modules/aws/ecs-cluster,open-source-devex,HCL,true,false,false,2,true,false,false,true,35
VV5/world-war-two,VV5,JavaScript,true,false,false,1,false,true,false,false,14
alibitek-flutter/flutter-docker-images,alibitek-flutter,,true,false,false,1,true,false,false,false,21
tjvb/laravel-mail-catchall,tjvb,PHP,true,false,false,2,false,true,false,false,135
marcheing/spn,marcheing,C++,true,false,false,1,true,false,false,false,21
sanpi/effitask,sanpi,Rust,true,false,false,1,false,true,false,false,23
Sylhare/integration-tests,Sylhare,,true,false,false,3,true,true,true,false,39
gt8/open-source/elixir/eidetic-plug,gt8,Elixir,true,false,false,3,true,true,false,false,35
uniqx/provi,uniqx,Python,true,false,false,1,false,true,false,false,9
jbarascut/blog,jbarascut,HTML,true,false,false,1,false,true,false,false,20
adamzelycz/cms42,adamzelycz,CSS,true,false,false,2,false,false,true,false,70
dietsoda/yail,dietsoda,Java,true,false,true,1,false,false,true,false,64
slon/shad-ts,slon,Python,true,true,false,1,false,true,false,false,12
mattbell87/spin-the-wheel,mattbell87,JavaScript,true,false,false,2,false,true,true,false,29
jsonsonson/wily-cli,jsonsonson,JavaScript,true,false,false,4,false,true,false,false,60
Arasto/gitlabinlemningenenn,Arasto,Java,true,false,true,1,false,true,false,false,5
Svensson92/RobinSvensson,Svensson92,Java,true,false,true,1,false,true,false,false,5
gitlab-pkg/gitlab-gitaly,gitlab-pkg,Makefile,true,false,false,3,true,false,false,true,41
xapix/cnvrt,xapix,Clojure,true,false,false,1,false,true,false,false,9
taichunmin/progit2-zh-tw,taichunmin,CSS,true,false,false,3,true,false,true,true,56
moorepants/skijumpdesign,moorepants,Python,true,true,false,1,false,true,false,false,48
quentin.rillet/cv,quentin.rillet,VisualBasic,true,false,false,2,true,false,true,false,55
thomasscottterry121/Compiler,thomasscottterry121,C#,true,false,false,1,true,false,false,false,11
vilmosnagy/restdea,vilmosnagy,Kotlin,true,false,false,1,true,false,false,false,22
jordankueh/slackr,jordankueh,Go,true,false,false,2,true,true,false,false,121
Ritubh/kubernetes,Ritubh,Ruby,true,false,false,2,true,true,false,false,379
bdjnk/js-aoc,bdjnk,JavaScript,true,false,false,1,false,false,true,false,11
IAI-GL3-17-18/TP-SIG-GROUPE-2,IAI-GL3-17-18,JavaScript,true,false,false,1,false,false,true,false,11
Indexyz/docker-torrent-alpine,Indexyz,,true,false,false,1,true,false,false,false,25
infomasternotes/PSS,infomasternotes,TeX,true,false,false,1,false,true,false,false,7
learnercfd/metaLBM,learnercfd,C++,true,false,false,1,false,true,false,false,9
qui-a-mange-le-graphiste/qui-a-mange-le-graphiste.gitlab.io,qui-a-mange-le-graphiste,HTML,true,false,false,1,false,false,true,false,11
VV5/magazine-editor,VV5,JavaScript,true,false,false,1,false,true,false,false,14
laszlobarabas/nodejs-ci-demo,laszlobarabas,JavaScript,true,false,false,3,false,true,true,false,47
fluorine/compositor,fluorine,C,true,false,false,1,true,false,false,false,14
bfcarpio/Student-Money-guide,bfcarpio,TeX,true,false,false,1,false,true,false,false,7
atuncatunc/hanim-ne-alayim,atuncatunc,JavaScript,true,false,false,1,false,false,true,false,12
camelot/kickc,camelot,Java,true,false,true,1,true,false,false,false,23
rtxrulez/demo,rtxrulez,CSS,true,false,false,2,false,true,true,false,27
disastor/AstorlandHTML,disastor,HTML,true,false,false,1,false,false,true,false,13
robotmachine/QuickLedger,robotmachine,Python,true,false,false,1,false,false,true,false,11
attila.farago.hu/EV3TreeVisASPApp,attila.farago.hu,JavaScript,true,false,false,1,true,false,false,false,18
ColinDuquesnoy/Absolute,ColinDuquesnoy,QML,true,false,false,3,true,true,false,false,35
legoktm/semver-checker,legoktm,PHP,true,false,false,1,false,true,false,false,31
smallworldnews/social-first-news-strategy,smallworldnews,JavaScript,true,false,false,2,true,false,false,false,59
ViDA-NYU/d3m/ta2ta3-stubs,ViDA-NYU,Python,true,true,false,1,true,false,false,false,20
zer0load/zer0load.gitlab.io,zer0load,CSS,true,false,false,1,false,true,false,false,16
peradnya/balinese-date-java-lib,peradnya,Java,true,false,false,2,true,true,false,false,31
lybt/lybt,lybt,HTML,true,false,false,1,false,false,true,false,11
VV5/symbolism,VV5,Vue,true,false,false,1,false,true,false,false,14
Finwood/rt2,Finwood,TeX,true,false,false,2,true,false,false,false,46
floscher/gradle-josm-plugin,floscher,Kotlin,true,false,false,3,true,true,true,false,177
Kami-Kami/discord.js,Kami-Kami,JavaScript,true,false,false,1,false,true,false,false,23
Avris/Localisator,Avris,PHP,true,false,false,1,false,true,false,false,5
SoroushSharing/soroushsharing.gitlab.io,SoroushSharing,JavaScript,true,false,false,1,false,true,false,false,13
prettycoldramen/gradle-maven-comparison,prettycoldramen,Java,true,false,true,4,true,true,false,false,126
rilis/rili/promise,rilis,C++,true,false,false,3,false,true,false,false,72
rilis/rili/pattern,rilis,C++,true,false,false,3,false,true,false,false,66
rilis/rili/test,rilis,C++,true,false,false,3,false,true,false,false,85
rilis/rili/compatibility,rilis,CMake,true,false,false,2,false,false,false,false,33
rilis/rili/service/time,rilis,C++,true,false,false,3,false,true,false,false,79
rilis/rili/service/compute,rilis,C++,true,false,false,3,false,true,false,false,79
cmontella/hivemind,cmontella,Rust,true,false,false,1,false,true,false,false,14
islands-wars/hub,islands-wars,Java,true,false,false,2,false,false,true,false,25
satelligence/classifier,satelligence,Python,true,true,false,3,true,false,false,true,92
rilis/rili/rili,rilis,JavaScript,true,false,false,2,false,false,true,false,40
tobiaskoch/gitlab-ci-example-mono,tobiaskoch,C#,true,false,false,2,false,true,true,false,42
VV5/wttj,VV5,Vue,true,false,false,1,false,true,false,false,14
VV5/vatv,VV5,Vue,true,false,false,1,false,true,false,false,14
sane-project/website,sane-project,HTML,true,false,false,1,false,false,true,false,31
FiveScoreStudios/Website,FiveScoreStudios,HTML,true,false,false,1,false,false,true,false,11
madcapjake/buncbone,madcapjake,CoffeeScript,true,false,false,1,false,true,false,false,8
baldwinchang/baldwinchang,baldwinchang,,true,false,false,1,false,true,false,false,24
jeeon/docker/docker-node-ionic-android,jeeon,,true,false,false,2,true,false,false,false,92
angular-material-home/angular-material-home-supertenant,angular-material-home,JavaScript,true,false,false,2,false,true,true,false,48
FlorestanII/LanguageManager,FlorestanII,Java,true,false,false,2,false,false,false,false,24
thelamer/taisun-vdi,thelamer,Shell,true,false,false,1,true,false,false,false,22
thelamer/taisun-dev,thelamer,Ruby,true,false,false,1,true,false,false,false,22
bauen1/myunix,bauen1,C,true,false,false,1,false,true,false,false,6
skofgar/jomis-neuralnetwork,skofgar,JavaScript,true,false,false,1,false,false,true,false,39
eighthave/ci-image-git-buildpackage,eighthave,Shell,true,false,false,3,true,true,false,true,59
mayermic/smartvineyards-dhms,mayermic,Java,true,false,true,2,true,false,false,false,39
akash_rawal/dispatch_ng,akash_rawal,C,true,false,false,1,false,true,false,false,40
protechig/protech-2018,protechig,CSS,true,false,false,1,false,false,false,false,29
AOBlockchain/docs.aoblockchain.io,AOBlockchain,,true,false,false,1,false,true,false,false,17
kubiq/eveblues,kubiq,PHP,true,false,false,1,false,true,false,false,39
mwetoolkit/mwetoolkit3,mwetoolkit,Python,true,false,false,1,false,true,false,false,5
kodeking/hypnodrama,kodeking,C++,true,false,false,2,true,true,false,false,26
handycodejob/MyStreamerCoinWallet,handycodejob,JavaScript,true,false,false,1,false,false,true,false,27
kaine119/sccl-dictionary,kaine119,Python,true,false,false,3,false,true,true,false,46
Fus10n/Fusion,Fus10n,TypeScript,true,false,false,3,true,false,false,false,48
jannik.keye/trump-or-orange-api,jannik.keye,JavaScript,true,false,false,1,false,false,true,false,26
arcfire/rlite,arcfire,C,true,false,false,1,false,false,false,false,28
TMW2/clientdata,TMW2,HTML,true,false,false,3,false,true,false,false,87
kachaloali/automate-cellulaire,kachaloali,CSS,true,false,false,2,false,true,true,false,27
angular-material-home/angular-material-home-spa,angular-material-home,JavaScript,true,false,false,2,false,true,true,false,48
angular-material-home/angular-material-home-help,angular-material-home,JavaScript,true,false,false,2,false,true,true,false,46
kai.richard.koenig/easytainer-cli,kai.richard.koenig,Python,true,true,false,5,false,true,true,false,55
angular-material-home/angular-material-home-theme,angular-material-home,JavaScript,true,false,false,2,false,true,true,false,48
DBMGE/Maps,DBMGE,JavaScript,true,false,false,1,false,false,false,false,13
angular-material-home/angular-material-home-language,angular-material-home,JavaScript,true,false,false,2,false,true,true,false,44
samuel-garratt/soaspec,samuel-garratt,Ruby,true,false,false,2,false,true,true,false,65
offa/docker-images-ci,offa,Shell,true,false,false,1,false,true,false,false,296
sims1253/ml-voodoo,sims1253,Python,true,true,false,1,false,true,false,false,4
islands-wars/research/graylog,islands-wars,Java,true,false,false,1,true,false,false,false,15
gableroux/gitlab-ci-example-docker,gableroux,,true,false,false,1,true,false,false,false,25
VV5/pineville,VV5,JavaScript,true,false,false,1,false,true,false,false,14
circle-eh/docker/docker-pocketmine,circle-eh,Makefile,true,false,false,1,true,false,false,false,28
dougalg/vue-in-out,dougalg,JavaScript,true,false,false,1,false,true,false,false,16
uni10/uni10.gitlab.io,uni10,Ruby,true,false,false,2,false,true,true,false,29
serial-lab/quartet_epcis,serial-lab,Python,true,true,false,3,false,false,false,false,77
oskopek/irsee.net,oskopek,C#,true,false,false,3,true,true,true,false,73
elmacko-open-source/node-cryptography,elmacko-open-source,JavaScript,true,false,false,2,false,true,true,false,69
piratsky-institut/institut,piratsky-institut,HTML,true,false,false,1,false,false,true,false,13
LibrifyJS/LibrifyJS,LibrifyJS,JavaScript,true,false,false,1,false,false,true,false,11
maxmckenzie/berepublic-infustructure-specification,maxmckenzie,JavaScript,true,false,false,4,true,true,true,true,384
ntnsndr/questions,ntnsndr,TeX,true,false,false,2,false,true,true,false,35
islands-wars/countdown,islands-wars,HTML,true,false,false,1,false,false,true,false,9
vinopravin/findmehere,vinopravin,JavaScript,true,false,false,1,false,false,true,false,11
islands-wars/assets,islands-wars,,true,false,false,1,false,false,true,false,10
rommon/docker,rommon,PHP,true,false,false,1,false,false,false,false,59
bskrtich/dotfiles,bskrtich,Shell,true,false,false,1,false,false,true,false,11
eighthave/rfp-test,eighthave,Python,true,false,false,1,false,true,false,false,12
dmitriy.gnedoy/music-app-server,dmitriy.gnedoy,JavaScript,true,false,false,1,false,true,false,false,19
snehaldangroshiya/treemd,snehaldangroshiya,Go,true,false,false,2,true,true,false,false,36
axual-training/alertevent-generator,axual-training,Java,true,false,true,3,true,false,true,true,45
antoni.kozielewski/trailPathPlaner,antoni.kozielewski,JavaScript,true,false,false,1,false,false,true,false,11
gitlab-pages-demo2/jekyll,gitlab-pages-demo2,CSS,true,false,false,2,false,true,true,false,27
gitlab-cookbooks/gitlab-exporters,gitlab-cookbooks,Ruby,true,false,false,2,false,true,false,true,53
glancr/mirros_api,glancr,Ruby,true,false,false,2,false,true,false,false,61
glancr/mirros_display,glancr,Vue,true,false,false,1,false,true,false,false,30
glancr/mirros_settings,glancr,Vue,true,false,false,2,true,true,false,false,48
MoritzBru/cartography-playground,MoritzBru,JavaScript,true,false,false,1,false,false,true,false,20
isciences/wsim/wsim_geoserver,isciences,Python,true,true,false,2,true,false,false,true,30
csc-492-denim/machine-assisted-data-mining,csc-492-denim,Go,true,false,false,4,false,true,true,false,57
gt8/open-source/elixir/eidetic-projector-elasticsearch,gt8,Elixir,true,false,false,3,false,true,false,false,71
Valtech-Amsterdam/PowerShell/WakeUpAzureWebApp,Valtech-Amsterdam,PowerShell,true,false,false,2,false,true,false,true,43
PushTheLimits/Sourcemod/MagicDice,PushTheLimits,SourcePawn,true,false,false,2,true,false,false,false,77
jryannel/qauto-admin,jryannel,Python,true,true,false,1,false,true,false,false,14
chezgi/jekyll,chezgi,CSS,true,false,false,2,false,true,true,false,27
ramiel/caravaggio,ramiel,JavaScript,true,false,false,2,false,true,true,false,100
rilis/rili/service/socket,rilis,C++,true,false,false,3,false,true,false,false,69
AperiKube/aperisite,AperiKube,CSS,true,false,false,1,true,false,false,false,16
niklasnisbeth/mpc-internals,niklasnisbeth,CSS,true,false,false,1,false,false,true,false,14
gitlabci-demo/angular-demo,gitlabci-demo,CSS,true,false,false,2,true,false,true,false,24
nathanfaucett/rs-virtual_view,nathanfaucett,Rust,true,false,false,1,false,true,false,false,6
rhendric/tap-appveyor,rhendric,JavaScript,true,false,false,1,false,true,false,false,39
gherman/No.Comparers,gherman,C#,true,false,false,3,true,true,false,true,84
pcarbo/wflow-divvy,pcarbo,HTML,true,false,false,1,false,false,true,false,13
VV5/verbal-irony,VV5,JavaScript,true,false,false,1,false,true,false,false,14
saraedum/apps-android-wikivoyage,saraedum,Java,true,false,false,4,true,true,false,false,59
CerealBusTechBlog/cerealbustechblog.gitlab.io,CerealBusTechBlog,CSS,true,false,false,2,false,true,true,false,27
pablodiehl/color-poker,pablodiehl,JavaScript,true,false,false,1,false,false,true,false,11
kolorahl/amplitude,kolorahl,Ruby,true,false,false,2,false,true,true,false,24
rilis/rili/xml,rilis,C++,true,false,false,3,false,true,false,false,80
ttpcodes/mb2thw,ttpcodes,JavaScript,true,false,false,1,false,true,false,false,12
jbweston/gitlab-ci-tools,jbweston,Python,true,false,false,1,false,true,false,false,8
cathaldallan/saltypie,cathaldallan,Python,true,true,false,2,false,true,true,false,38
ownnotif/ownnotif-server-api,ownnotif,Batchfile,true,false,false,1,false,true,false,false,6
djm.im/jLocalCoin,djm.im,Java,true,false,false,2,true,true,false,false,39
daily-five/plates-components,daily-five,PHP,true,false,false,1,false,true,false,false,39
consumer-driven-contract-helm-deployment/catalog-service,consumer-driven-contract-helm-deployment,Ruby,true,false,false,6,true,true,false,false,108
Bitergia/devops/indexwarrior,Bitergia,Python,true,true,false,1,false,true,false,false,6
VV5/tone-learning,VV5,JavaScript,true,false,false,1,false,true,false,false,14
sorenmat/certgen,sorenmat,Go,true,false,false,2,true,false,true,false,31
Snipey/SmelteryCMS,Snipey,JavaScript,true,false,false,1,false,true,false,false,13
remram44/vigilant-steel,remram44,Rust,true,false,false,2,true,false,true,false,32
gecko.io/geckoEMF,gecko.io,Java,false,false,false,0,false,false,false,false,1
baldurmen/puppet-xerox,baldurmen,Puppet,true,false,false,1,false,true,false,false,20
baldurmen/puppet-plymouth,baldurmen,Puppet,true,false,false,1,false,true,false,false,20
kjk.designs/fa2018,kjk.designs,CSS,true,false,false,2,false,true,true,false,35
cathaldallan/codebox,cathaldallan,Python,true,true,false,2,false,true,true,false,38
unlessgames/algwalk,unlessgames,CoffeeScript,true,false,false,1,false,false,true,false,12
janmasrovira/phileas,janmasrovira,Haskell,true,false,false,2,true,true,false,false,29
craigbarnes/lua-sass,craigbarnes,Makefile,true,false,false,1,false,true,false,false,9
correaa/boost-multi,correaa,C++,true,false,false,1,false,true,false,false,49
sasol/gitlab-ci-git-tools,sasol,Shell,true,false,false,3,true,true,false,true,101
ostrokach-forge/cgal,ostrokach-forge,Shell,true,false,false,3,true,true,true,false,149
npolar/sphinx-docs-template,npolar,Python,true,true,false,1,false,true,false,false,31
nerzhul/ncsmsgo,nerzhul,Go,true,false,false,1,true,false,false,false,35
azahrandani/My_First_Git_Repo,azahrandani,Python,true,false,false,1,false,true,false,false,99
eeronen/reseptisovellus,eeronen,TypeScript,true,false,false,4,true,true,true,false,51
gnss-sdr/gnss-sdr,gnss-sdr,C++,true,false,false,4,true,true,true,false,983
quesog/aos-lecturenotes,quesog,HTML,true,false,false,1,false,false,true,false,62
asludds/flaskserver,asludds,Python,true,false,false,1,false,true,false,false,48
Aeizzz/blog,Aeizzz,CSS,true,false,false,1,false,true,false,false,17
nobodyinperson/make-utils,nobodyinperson,Makefile,true,false,false,3,true,true,true,false,40
TalesofNewerth/ToN-Website,TalesofNewerth,PHP,true,false,false,1,false,true,false,false,88
mvochoa/hackerrank,mvochoa,Go,true,false,false,1,false,false,false,false,23
omicronns.main/cpp-project-template,omicronns.main,CMake,true,false,false,3,true,true,false,false,69
gecko.io/geckoMongoEMF,gecko.io,Java,true,false,false,2,true,true,false,false,37
ilias.redissi/emojis-for-slack,ilias.redissi,JavaScript,true,false,false,1,true,false,false,false,14
willmitchell/secret_runner_aws,willmitchell,Go,true,false,false,3,true,true,true,false,44
rilis/rili/service/console,rilis,C++,true,false,false,3,false,true,false,false,37
Erk/rsget,Erk,Rust,true,false,false,1,true,false,false,false,16
sik-tests/sik-rest-api-dice,sik-tests,Shell,true,false,false,1,false,true,false,false,25
maxwellbridges/styleguide,maxwellbridges,CSS,true,false,false,1,false,true,false,false,13
Silvers_Gw2/Market_Data_Processer,Silvers_Gw2,JavaScript,true,false,false,3,true,true,true,false,49
nanocurrency/raiblocks,nanocurrency,C++,true,false,false,2,true,true,false,false,161
Baasie/continuous-delivery-faas,Baasie,TypeScript,true,false,false,5,true,false,false,true,134
PPL2018csui/Kelas-C/PPL2018-C3,PPL2018csui,JavaScript,true,false,false,2,false,true,true,false,106
PPL2018csui/Kelas-D/PPL2018-D4,PPL2018csui,Java,true,false,false,2,true,true,false,false,218
PPL2018csui/Kelas-D/PPL2018-D6,PPL2018csui,Java,true,false,false,2,false,true,true,false,102
amagpiesnest/amagpiesnest.gitlab.io,amagpiesnest,HTML,true,false,false,1,false,false,true,false,13
canarduck/pays,canarduck,Python,true,true,false,2,false,true,true,false,58
CyanogenMod13/Kernel,CyanogenMod13,,true,false,false,1,false,true,false,false,16
ichlaffterlalu/advprog-lab,ichlaffterlalu,Python,true,false,false,1,false,true,false,false,86
StellarStorm/DVH_Helper,StellarStorm,Python,true,false,false,1,false,true,false,false,27
serial-lab/quartet_capture,serial-lab,Python,true,true,false,3,false,false,false,false,65
allotrope-open-source/shape-editor,allotrope-open-source,Xtend,true,false,false,2,true,false,true,false,60
allotrope-open-source/adf-validator,allotrope-open-source,Java,true,false,true,2,true,false,true,false,51
Pasu/Advance-Programing,Pasu,Python,true,false,false,1,false,true,false,false,86
alvinraih/advprog-tutorial,alvinraih,Java,true,false,false,1,false,true,false,false,99
iota-foundation/doc/documentation,iota-foundation,JavaScript,true,false,false,3,false,false,true,false,43
argaghulamahmad/advprog-tutorial,argaghulamahmad,Java,true,false,false,1,false,true,false,false,126
rilis/rili/stream,rilis,C++,true,false,false,3,false,true,false,false,69
Simpom/tare,Simpom,Python,true,false,false,1,false,true,false,false,49
jnmoal-docker/debian-ansible,jnmoal-docker,Shell,true,false,false,3,true,true,false,true,54
r0x.fr/docs,r0x.fr,,true,false,false,1,false,true,false,false,18
tobias47n9e/wkdr,tobias47n9e,Rust,true,false,false,1,false,true,false,false,6
nathanfaucett/rs-virtual_view_dom,nathanfaucett,Rust,true,false,false,1,false,true,false,false,6
dshevchenkoo/color-runner,dshevchenkoo,JavaScript,true,false,false,1,false,false,true,false,25
pothitos/hands-on-exercise,pothitos,C,true,false,false,2,true,true,false,false,23
dziki/rancher-nginx-ssl-proxy,dziki,,true,false,false,1,true,false,false,false,14
zauster/blog,zauster,HTML,true,false,false,1,false,true,false,false,27
Keo1711/ChatMode,Keo1711,Java,true,false,true,1,false,true,false,false,12
Calinou/minetest-builds,Calinou,Shell,true,false,false,1,true,false,false,false,38
metinerk/asdf,metinerk,TypeScript,true,false,false,1,false,false,true,false,17
breithbarbot/cropper,breithbarbot,JavaScript,true,false,false,1,false,true,false,false,24
pietrom_cp/spring-class,pietrom_cp,Java,true,false,false,2,true,true,false,false,32
Nkzn/ReVIEW-Template,Nkzn,TeX,true,false,false,1,false,true,false,false,14
SiLA2/sila_csharp,SiLA2,C#,true,false,false,4,true,true,false,true,143
transact/node-transact,transact,TypeScript,true,false,false,3,true,true,false,false,50
ysb33rOrg/gradleTest,ysb33rOrg,Groovy,true,false,false,4,true,true,false,true,221
dirn/stonestyle,dirn,Python,true,false,false,1,false,true,false,false,20
axk4545/axk4545.gitlab.io,axk4545,CSS,true,false,false,1,false,false,true,false,24
fresheyeball/control-iso,fresheyeball,Haskell,true,false,false,1,true,false,false,false,12
luichan/official-wireshark,luichan,C,true,false,false,2,true,true,false,false,191
SandraKriemann/Microservice-Picking-Usecase,SandraKriemann,Go,true,false,false,2,true,false,true,false,27
runStudies/runStudies,runStudies,TypeScript,true,false,false,1,false,true,false,false,4
nyxcharon/PassVault,nyxcharon,CSS,true,false,false,2,true,true,false,false,30
ttpcodes/debate.js-readers,ttpcodes,JavaScript,true,false,false,1,false,true,false,false,13
LeBronse/taskers,LeBronse,Rust,true,false,false,1,false,true,false,false,24
VV5/palmistry,VV5,Vue,true,false,false,1,false,true,false,false,14
DBotThePony/DLib,DBotThePony,Lua,true,false,false,1,true,false,false,false,29
DBotThePony/PPM,DBotThePony,MoonScript,true,false,false,1,true,false,false,false,19
libmicrohttpd/libmicrohttpd,libmicrohttpd,C,true,false,false,1,false,true,false,false,124
STRL/STEMsalabim,STRL,C++,true,false,false,2,true,true,false,false,33
peradnya/balinese-date-js-lib,peradnya,TypeScript,true,false,false,3,true,true,true,false,49
tonychang/csp-tws-roads,tonychang,HTML,true,false,false,2,false,true,true,false,27
DamienCassou/emacs-ci-docker,DamienCassou,Shell,true,false,false,3,true,false,false,true,127
Iranium/Iranium,Iranium,PHP,true,false,false,1,false,true,false,false,32
nickvde/Practice_enterprise,nickvde,Java,true,false,false,2,true,true,false,false,46
joewreschnig/emacs-cask-docker-image,joewreschnig,,true,false,false,1,false,true,false,false,9
isaagar/isaagar.gitlab.io,isaagar,,true,false,false,1,false,true,false,false,13
sndevs/hub,sndevs,JavaScript,true,false,false,1,false,false,true,false,11
Dreae/kvasir,Dreae,JavaScript,true,false,false,1,true,false,false,false,20
dirn/doozerify,dirn,Python,true,false,false,1,false,true,false,false,23
antora/docker-antora,antora,,true,false,false,2,true,false,true,false,49
Calinou/hugo.pro,Calinou,HTML,true,false,false,1,true,false,false,false,27
catalyst-it/catascope,catalyst-it,Python,true,true,false,3,false,true,false,false,86
gitlab-org/security-products/zaproxy,gitlab-org,Java,true,false,false,1,true,false,false,false,19
demipel8/bodorrio,demipel8,JavaScript,true,false,false,2,false,true,true,false,16
badsectorlabs/blog,badsectorlabs,HTML,true,false,false,2,true,false,true,false,59
omawhite/react-pspfrontend,omawhite,JavaScript,true,false,false,2,true,true,false,false,21
obob/pymatreader,obob,HTML,true,false,false,1,false,true,false,false,104
commonshost/manifest,commonshost,JavaScript,true,false,false,1,false,true,false,false,11
CaflischLab/SEED,CaflischLab,C++,true,false,false,2,true,true,false,false,43
tobias47n9e/wikibase_rs_rocket_example,tobias47n9e,Rust,true,false,false,1,false,true,false,false,6
MendesKing/plain-html,MendesKing,HTML,true,false,false,1,false,false,true,false,11
zauster/riot,zauster,R,true,false,false,1,false,true,false,false,63
greenfox/upvotes,greenfox,JavaScript,true,false,false,3,true,false,true,true,45
dhimmel/pmc-citation-styles,dhimmel,JupyterNotebook,true,false,false,1,false,true,false,false,14
