project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
accounts-sso/gsignond-plugin-sasl,accounts-sso,C,true,false,false,3,true,true,true,false,58
accounts-sso/libgsignon-glib,accounts-sso,C,true,false,false,3,true,true,true,false,58
uhttpmock/uhttpmock,uhttpmock,C,true,false,false,1,true,false,false,false,24
indybay/indybay-active,indybay,PHP,true,false,false,1,false,true,false,false,28
jaming/panicboard,jaming,JavaScript,true,false,false,2,false,true,true,false,35
radiognu/radiognu-widget-legacy,radiognu,JavaScript,true,false,false,1,false,true,false,false,10
radiognu/radiognu-widget,radiognu,JavaScript,true,false,false,1,false,false,true,false,14
jamie_ca/blog.tracefunc.com,jamie_ca,JavaScript,true,false,false,1,false,true,false,false,12
Tablesaw/Alpaca-Farm,Tablesaw,Ruby,true,false,false,1,false,true,false,false,26
4144/paranucker,4144,C++,true,false,false,3,true,false,false,false,30
s4m-chef-repositories/confluent-platform,s4m-chef-repositories,Ruby,true,false,false,1,false,true,false,false,33
0X1A/yabs,0X1A,Rust,true,false,false,1,false,true,false,false,6
oleksandromelchuk/rust-osm-reader,oleksandromelchuk,Rust,true,false,false,1,true,false,false,false,17
breadmaker/ctmcorp.cl,breadmaker,HTML,true,false,false,1,false,false,true,false,16
asura/data,asura,,true,false,false,1,false,true,false,false,3
ilpianista/HostIsDown,ilpianista,Java,true,false,false,2,true,true,false,false,47
multoo/error-handler,multoo,PHP,true,false,false,1,false,true,false,false,10
0X1A/rpf,0X1A,Rust,true,false,false,1,false,true,false,false,4
s4m-chef-repositories/storm-platform,s4m-chef-repositories,Ruby,true,false,false,1,false,true,false,false,35
timothyw/lisp,timothyw,C,true,false,false,1,false,true,false,false,8
bromancer/nodejs-gitlab-bot,bromancer,JavaScript,true,false,false,1,false,true,false,false,5
iggdrasil/morrigan-ng,iggdrasil,Python,true,true,false,2,true,true,false,false,31
ICM-VisLab/JSciC,ICM-VisLab,Java,true,false,true,1,false,true,false,false,8
ICM-VisLab/JLargeArrays,ICM-VisLab,Java,true,false,true,1,false,true,false,false,8
rodo/pg_tools,rodo,Python,true,false,false,1,false,true,false,false,32
gbraad/gauth,gbraad,JavaScript,true,false,false,2,true,true,false,false,38
gitlab-pivotal/gitlab-ee-bosh-release,gitlab-pivotal,HTML,true,false,false,1,false,true,false,false,117
joaopizani/piware,joaopizani,TeX,true,false,false,1,false,false,true,false,12
almonsin/fmt11,almonsin,C++,true,false,false,1,false,true,false,false,4
mahdaen/singclude,mahdaen,JavaScript,true,false,false,1,false,true,false,false,9
stepwo/catalog-page-generator,stepwo,Java,true,false,true,1,false,true,false,false,8
mgoral/quicksend,mgoral,Python,true,true,false,1,false,true,false,false,21
