project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage
isf-traffic/isf-traffic.gitlab.io,isf-traffic,HTML,TRUE,FALSE,FALSE,3,TRUE,FALSE,TRUE,FALSE
VV5/climate-change,VV5,Vue,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
TortueMat/simple_lib,TortueMat,Python,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
zyrthofar/api_errors,zyrthofar,Ruby,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
aleks001/haproxy18-centos,aleks001,Shell,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
openchess/openchessdb,openchess,Kotlin,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
freshcode-public/i-video-editor,freshcode-public,TypeScript,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,TRUE
eyeo/websites/help.eyeo.com,eyeo,CSS,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
Dragas/Khan-4,Dragas,Kotlin,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
flat-galaxy/flattrack,flat-galaxy,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
sumner/offlinemsmtp,sumner,Python,TRUE,FALSE,FALSE,3,TRUE,FALSE,TRUE,FALSE
lisp-journey/lisp-journey.gitlab.io,lisp-journey,Makefile,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
gitlab-escuela-it/pruebas-clase-2,gitlab-escuela-it,,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
energyincities/python-ehub,energyincities,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
doerfli/wo-ist,doerfli,Kotlin,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
harbottle/omnibus-bolt,harbottle,Ruby,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE
Samantha.ai/Samantha.jl,Samantha.ai,Julia,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
cyphercodes/GitlabApp,cyphercodes,TypeScript,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
rafaelff/scripts,rafaelff,Shell,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
ilovedevops/my-project-1,ilovedevops,,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
KimSumac/BlogKim,KimSumac,HTML,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
marius-rizac/docker-manager,marius-rizac,PHP,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
00dani/lemoncurry,00dani,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
ndevox/nick.sarbicki.com,ndevox,Python,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE
cfmm/dcmproxy,cfmm,C++,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
nathanfaucett/rs-rand_num_gen,nathanfaucett,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
pantacor/docs,pantacor,,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
rogerclotet/amicinvisible-server,rogerclotet,Go,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
ikruchkov0/med-reg,ikruchkov0,C#,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
seftp/SeFTP,seftp,Go,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
CLARIN-ERIC/docker-solr,CLARIN-ERIC,Shell,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE
pipeline-patterns/django-cloudfoundry,pipeline-patterns,Python,TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,FALSE
do-lagos-meetup/ansible-demo,do-lagos-meetup,Ruby,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
do-lagos-meetup/terraform-demo,do-lagos-meetup,HCL,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
goern/bn-bruecken,goern,JavaScript,TRUE,FALSE,FALSE,4,FALSE,TRUE,TRUE,TRUE
atsaloli/cicd,atsaloli,CSS,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
petervaro/pcd,petervaro,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
6uellerBpanda/check_pve,6uellerBpanda,Ruby,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
w4tweaks/wiki,w4tweaks,,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
starshell/question,starshell,Rust,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,FALSE
gt8/open-source/elixir/bungee,gt8,Elixir,TRUE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE
i-tre-brutti/beholder,i-tre-brutti,Go,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
lievendoclo/project-kali-server,lievendoclo,Kotlin,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE
bennyp/math-canvas,bennyp,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
PhysikP-Seminar/CNC,PhysikP-Seminar,Python,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,FALSE
waylon531/wayless,waylon531,Rust,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
yorickpeterse/yorickpeterse.com,yorickpeterse,CSS,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,TRUE
canarduck/flumel,canarduck,Python,TRUE,TRUE,FALSE,2,FALSE,TRUE,TRUE,FALSE
shadowburn/shadowburn,shadowburn,Elixir,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
kimlab/jobsubmitter,kimlab,Python,TRUE,FALSE,FALSE,4,TRUE,TRUE,TRUE,FALSE
avernois/nossl.eu,avernois,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
mark.underseth/sandbox,mark.underseth,,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
moueza/autowired,moueza,Java,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
van-mronov/bobbin,van-mronov,Elixir,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
kornelski/openmp-rs,kornelski,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
thelamer/taisun-gateway,thelamer,JavaScript,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
zinaliev/testbed,zinaliev,Java,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
CLARIN-ERIC/docker-alpine-supervisor-java-tomcat-base,CLARIN-ERIC,Shell,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE
quantr/toolchain/Assembler,quantr,Java,TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,FALSE
pwmc/gsvgtk,pwmc,HTML,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
RyDroid/proxy-php,RyDroid,PHP,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
thelamer/taisun-dyndns,thelamer,Shell,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
casette/sauna-project,casette,HTML,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
offa/ci-playground,offa,,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
offa/docker-images,offa,Shell,TRUE,FALSE,FALSE,6,FALSE,TRUE,FALSE,TRUE
cha-node/ng,cha-node,,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE
cha-node/ng-testplat,cha-node,Shell,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE
althonos/compiler,althonos,OCaml,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
yethiel/RVDocs,yethiel,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
optimisedlabs/slackhook,optimisedlabs,Swift,TRUE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE
petervaro/fixer,petervaro,D,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
commonshost/cache-digest-koel,commonshost,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
xylok/networkparse,xylok,Python,TRUE,TRUE,FALSE,3,TRUE,TRUE,TRUE,FALSE
MasterProject/MasterProject,MasterProject,Java,TRUE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE
fruits.confits/qt-builder,fruits.confits,QMake,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE
jorge.suit/user-auth-jsonrpc,jorge.suit,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
offa/plug,offa,C++,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
terrasubmersa/terra-submersa-portal,terrasubmersa,Scala,TRUE,FALSE,FALSE,9,TRUE,FALSE,FALSE,FALSE
binero/mpw-gtk,binero,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
gis23/search_engine,gis23,Python,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
NAdamo/metujump01-blog,NAdamo,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
islands-wars/guidelines,islands-wars,CSS,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
pidila/checklist-pidila,pidila,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
colic.christian/bfh-telematik-c,colic.christian,C,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
adbci/marketPlace,adbci,PHP,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
chrispappas/laravel-ci-cd-demos,chrispappas,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
stephane.arrami/flexbox,stephane.arrami,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
signal9/chrome_remote,signal9,C++,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
toon/lisa,toon,Go,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
loppear/social-coop-policies,loppear,,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
jgarr/k8os,jgarr,Makefile,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
nolith/codeclimate-gocyclo,nolith,Go,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE
nilenso/relay-ops,nilenso,HTML,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE
dartika/laravel-gitlab-envoy-deploy,dartika,HTML,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
sam-uq/luqness,sam-uq,C++,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,FALSE
sam-uq/sphinx,sam-uq,C++,TRUE,FALSE,FALSE,4,TRUE,FALSE,TRUE,FALSE
nathannAttendPas/dysapps,nathannAttendPas,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
lambdait/mai-schedule-vk,lambdait,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Toby56/Calcifer-Old,Toby56,Python,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
deepin-espanol/deepin-espanol.gitlab.io,deepin-espanol,HTML,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
debops/debops,debops,Shell,TRUE,FALSE,FALSE,8,FALSE,TRUE,FALSE,FALSE
ckhurewa/pyroot-zen,ckhurewa,Python,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
dziki/lb-service-haproxy,dziki,,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
ExtropicStudios/trilithon,ExtropicStudios,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
diegomartincorrea/diegomartincorrea.gitlab.io,diegomartincorrea,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
vladgo/build-nginx,vladgo,Shell,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE
shivrajbisht/gitlab-test,shivrajbisht,Shell,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
nilenso/relay-chat.com,nilenso,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
n11t/tombola,n11t,PHP,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE
dirn/flake8-confusables,dirn,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
LineageOS/infra/builds-ui,LineageOS,Python,TRUE,TRUE,FALSE,3,TRUE,TRUE,TRUE,FALSE
mixingrid/grid,mixingrid,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
thatscloud/pubj,thatscloud,Java,TRUE,FALSE,FALSE,4,TRUE,TRUE,FALSE,TRUE
CycleOfTheAbsurd/inf3135-aut2017-tp3,CycleOfTheAbsurd,C,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
victorm95/express-todo,victorm95,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
ilpianista/arch-audit,ilpianista,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
stefanotorresi/php-hello,stefanotorresi,PHP,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
open-source-devex/toolbox,open-source-devex,Shell,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE
HearthProject/Hearth,HearthProject,C#,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
xapix/clj-soap,xapix,Clojure,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
eclufsc/eda/ophidian_project_template,eclufsc,CMake,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
icecream95/mastodon-fortune-bot,icecream95,Shell,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
wolphin/prometheus-export,wolphin,Go,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
VictLecl/2Movies1Actor_android,VictLecl,Java,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
nkls/memoize-last,nkls,TypeScript,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,TRUE
wolphin/wolphin.fluentd,wolphin,Ruby,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/wolphin.telegraf,wolphin,Shell,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/eventpile,wolphin,Go,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/wolphin.parallel,wolphin,,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/wolphin.cli,wolphin,Python,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/wolphin.etl,wolphin,Python,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
wolphin/wolphin.admin,wolphin,JavaScript,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
ercom/docker,ercom,Shell,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
i-tre-brutti/terraformer,i-tre-brutti,Go,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
beardedio/terraria,beardedio,Shell,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
epicdocker/bloonix_server,epicdocker,Smarty,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE
Callahan93/headless,Callahan93,Python,TRUE,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE
i-tre-brutti/common,i-tre-brutti,Go,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
rilis/rilis,rilis,JavaScript,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
alphaDev/libTimeSeries,alphaDev,Java,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
web3-sh/web3,web3-sh,Shell,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
open-source-devex/containers/build-packer,open-source-devex,Shell,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE
opentransitmap/public-transport-enabler,opentransitmap,Java,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
barrel-db/memstore,barrel-db,Erlang,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
KelompokB10PPW2017/konekin-enterprise,KelompokB10PPW2017,JavaScript,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
C0DK/refcoin,C0DK,Python,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE
pcuisinaud/auth-service,pcuisinaud,Java,TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,FALSE
covcom/continuous-integration-example,covcom,JavaScript,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE
seen/angular/seen-elearn,seen,JavaScript,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
datadrivendiscovery/tests-data,datadrivendiscovery,Python,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
jredmond/ld40,jredmond,Lua,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
metapensiero/metapensiero.sqlalchemy.asyncpg,metapensiero,Python,TRUE,TRUE,FALSE,2,FALSE,TRUE,FALSE,FALSE
Pyrex-FWI/DeejayPoolBundle,Pyrex-FWI,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Pyrex-FWI/sapar-id3,Pyrex-FWI,PHP,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE
wolphin/wolphin.win,wolphin,Python,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
role_unit/role_unit,role_unit,Shell,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE
Elypia/Alexis,Elypia,Java,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
Elypia/Elypiai,Elypia,Java,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
sebuah-grup/PPWKirito,sebuah-grup,Python,TRUE,TRUE,FALSE,2,FALSE,TRUE,TRUE,FALSE
tranquera/croissant-app,tranquera,Elm,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
showcheap/adonis-demo,showcheap,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
nathanfaucett/rs-polygon2,nathanfaucett,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
xiangpeng.wu/ThirdProject,xiangpeng.wu,,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
venkateshd/blog,venkateshd,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
encircle360/iri,encircle360,Java,TRUE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE
MengZn/gitlab-ci-ansible,MengZn,HTML,TRUE,FALSE,FALSE,5,TRUE,TRUE,TRUE,TRUE
dsncode/FileManager,dsncode,Java,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,FALSE
tuxaua/kafka-connect-ftp,tuxaua,Scala,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
xygeng/jaguar,xygeng,Java,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
tacoprophet/slf4j-esapi,tacoprophet,Java,TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE
the-casual-trade-and-fun-server/server-manager,the-casual-trade-and-fun-server,F#,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
eQuation/jekyll-website,eQuation,CSS,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
archbuild/packages/firefox-nightly,archbuild,Shell,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
VV5/vietnam-war,VV5,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
open-source-devex/terraform-modules/aws/ecs-cluster,open-source-devex,HCL,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,TRUE
VV5/world-war-two,VV5,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
alibitek-flutter/flutter-docker-images,alibitek-flutter,,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
tjvb/laravel-mail-catchall,tjvb,PHP,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE
marcheing/spn,marcheing,C++,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
sanpi/effitask,sanpi,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Sylhare/integration-tests,Sylhare,,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
gt8/open-source/elixir/eidetic-plug,gt8,Elixir,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,FALSE
uniqx/provi,uniqx,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
jbarascut/blog,jbarascut,HTML,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
adamzelycz/cms42,adamzelycz,CSS,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
dietsoda/yail,dietsoda,Java,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
slon/shad-ts,slon,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
mattbell87/spin-the-wheel,mattbell87,JavaScript,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
FlorestanII/MathLibrary,FlorestanII,Java,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE
jsonsonson/wily-cli,jsonsonson,JavaScript,TRUE,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE
Arasto/gitlabinlemningenenn,Arasto,Java,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
Svensson92/RobinSvensson,Svensson92,Java,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
gitlab-pkg/gitlab-gitaly,gitlab-pkg,Makefile,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE
xapix/cnvrt,xapix,Clojure,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
taichunmin/progit2-zh-tw,taichunmin,CSS,TRUE,FALSE,FALSE,3,TRUE,FALSE,TRUE,TRUE
moorepants/skijumpdesign,moorepants,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
quentin.rillet/cv,quentin.rillet,VisualBasic,TRUE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE
thomasscottterry121/Compiler,thomasscottterry121,C#,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
vilmosnagy/restdea,vilmosnagy,Kotlin,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
jordankueh/slackr,jordankueh,Go,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
Ritubh/kubernetes,Ritubh,Ruby,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
bdjnk/js-aoc,bdjnk,JavaScript,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
IAI-GL3-17-18/TP-SIG-GROUPE-2,IAI-GL3-17-18,JavaScript,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
Indexyz/docker-torrent-alpine,Indexyz,,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
infomasternotes/PSS,infomasternotes,TeX,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
learnercfd/metaLBM,learnercfd,C++,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
qui-a-mange-le-graphiste/qui-a-mange-le-graphiste.gitlab.io,qui-a-mange-le-graphiste,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
VV5/magazine-editor,VV5,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
laszlobarabas/nodejs-ci-demo,laszlobarabas,JavaScript,TRUE,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE
fluorine/compositor,fluorine,C,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
bfcarpio/Student-Money-guide,bfcarpio,TeX,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
atuncatunc/hanim-ne-alayim,atuncatunc,JavaScript,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
camelot/kickc,camelot,Java,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE
rtxrulez/demo,rtxrulez,CSS,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
disastor/AstorlandHTML,disastor,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
robotmachine/QuickLedger,robotmachine,Python,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
attila.farago.hu/EV3TreeVisASPApp,attila.farago.hu,JavaScript,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
ColinDuquesnoy/Absolute,ColinDuquesnoy,QML,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,FALSE
legoktm/semver-checker,legoktm,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
smallworldnews/social-first-news-strategy,smallworldnews,JavaScript,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
ViDA-NYU/d3m/ta2ta3-stubs,ViDA-NYU,Python,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE
zer0load/zer0load.gitlab.io,zer0load,CSS,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
peradnya/balinese-date-java-lib,peradnya,Java,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
lybt/lybt,lybt,HTML,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
VV5/symbolism,VV5,Vue,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Finwood/rt2,Finwood,TeX,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
floscher/gradle-josm-plugin,floscher,Kotlin,TRUE,FALSE,FALSE,3,TRUE,TRUE,TRUE,FALSE
Kami-Kami/discord.js,Kami-Kami,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Avris/Localisator,Avris,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
SoroushSharing/soroushsharing.gitlab.io,SoroushSharing,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
prettycoldramen/gradle-maven-comparison,prettycoldramen,Java,TRUE,FALSE,TRUE,4,TRUE,TRUE,FALSE,FALSE
